GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
- Persistence,io.oigres.ecomm.service.users.repository,Indexer,26,6,0,0,8,3,1,1,1,1
- Persistence,io.oigres.ecomm.service.users.repository,SearchRepositoryImpl,8,44,0,0,3,11,1,4,1,4
- Persistence,io.oigres.ecomm.service.users.repository.cache,CacheNames,3,0,0,0,1,0,1,0,1,0
- Persistence,io.oigres.ecomm.service.users.repository.cache,VerificationCodeCacheRepository,10,7,0,0,4,2,2,2,2,2
- Persistence,io.oigres.ecomm.service.users.textsearch,SearchMappingConfigurer,0,40,0,0,0,10,0,3,0,3
- Persistence,io.oigres.ecomm.service.users.textsearch,AuditableRoutingBridge,2,15,1,1,1,6,1,3,0,3
- Persistence,io.oigres.ecomm.service.users.textsearch,AuditableRoutingBinder,0,15,0,0,0,4,0,2,0,2
- Persistence,io.oigres.ecomm.service.users.orm,CustomAuditingEntityListener,37,24,12,2,10,9,8,2,1,2
