GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
- Persistence,io.oigres.ecomm.service.users.repository,Indexer,32,0,0,0,11,0,2,0,2,0
- Persistence,io.oigres.ecomm.service.users.repository,SearchRepositoryImpl,52,0,0,0,14,0,5,0,5,0
- Persistence,io.oigres.ecomm.service.users.repository.cache,CacheNames,3,0,0,0,1,0,1,0,1,0
- Persistence,io.oigres.ecomm.service.users.repository.cache,VerificationCodeCacheRepository,17,0,0,0,6,0,4,0,4,0
- Persistence,io.oigres.ecomm.service.users.textsearch,SearchMappingConfigurer,40,0,0,0,10,0,3,0,3,0
- Persistence,io.oigres.ecomm.service.users.textsearch,AuditableRoutingBridge,17,0,2,0,7,0,4,0,3,0
- Persistence,io.oigres.ecomm.service.users.textsearch,AuditableRoutingBinder,15,0,0,0,4,0,2,0,2,0
- Persistence,io.oigres.ecomm.service.users.orm,CustomAuditingEntityListener,61,0,14,0,19,0,10,0,3,0
